OBJECTID,ZIP,NAME,ZIPTYPE,STATE,STATEFIPS,COUNTYFIPS,COUNTYNAME,S3DZIP,LAT,LON,EMPTYCOL,TOTRESCNT,MFDU,SFDU,BOXCNT,BIZCNT,RELVER,COLOR,GlobalID,SHAPESTArea,SHAPESTLength
298,15204,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.45436768,-80.05936821, ,3645,112,3484,49,139,1.9.3,10,{478BB633-2446-4D0B-AA3F-EFBEF91D5202},53643204.6076965,39984.5422711656
897,15057,MC DONALD,NON-UNIQUE,PA,42,42125,WASHINGTON,150,40.35731321,-80.21749696, ,5280,110,5069,101,174,1.9.3,11,{093B892C-6AF8-4882-90CC-F2015F4A0387},528206151.066315,223250.440282853
2509,15037,ELIZABETH,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.250593,-79.863743,,4675,43,4558,74,263,1.9.3,10,{11BAA0B6-60C5-4F19-A8C1-F2122BE07023},738684056.993225,217483.343681703
460,15028,COULTERS,PO BOX,PA,42,42003,ALLEGHENY,150,40.295303,-79.801633,,87,,1,86,3,1.9.3,6,{C6C99F73-FF1E-4BF8-B844-F3B6496E9EF9},6559347.09951782,16588.1249635548
84,15214,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.48571112,-80.01328973, ,6370,417,5953,0,111,1.9.3,6,{CFA66008-DB78-4DCA-931B-F3E4A54D4D7D},124592731.184875,92511.500160667
38,15082,STURGEON,PO BOX,PA,42,42003,ALLEGHENY,150,40.38088936,-80.21310333, ,175,0,1,174,15,1.9.3,0,{68837542-C476-4E60-86D8-F67AD536E4E0},4526030.56356812,13235.2480976695
903,15241,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.33186282,-80.0828404, ,7820,658,7027,135,888,1.9.3,15,{AEE5E07F-EF87-4E93-90E0-F7E81B93CA30},278938937.068146,107232.356695015
89,15219,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.44291632,-79.98815211, ,6080,2644,3378,58,1728,1.9.3,11,{3A7259DD-F31C-4F1C-835B-F8FC2FE77646},72858750.3772888,76262.2924034759
34568,15236,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.38282012,-79.94502258, ,13685,2318,11099,268,1035,1.9.3,15,{9DC6C8C5-BF0C-4197-B55F-FC78F21F75EB},285023276.092316,203124.322341435
883,15642,IRWIN,NON-UNIQUE,PA,42,42129,WESTMORELAND,156,40.30204562,-79.70319636, ,18756,870,17657,229,1111,1.9.3,7,{94796352-FF04-4F83-8620-FCD7904D7C43},5261496.94454956,12232.0753274887
71,15201,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.47540275,-79.9536848, ,6231,300,5871,60,638,1.9.3,13,{1D1DC52E-3E57-4BA9-AC30-FF1CEBB05331},76487383.4189453,52392.3094481181
